None	morning page
P2	but it's on the other hand it's it's hard to put up with some of that stuff and I think I think it shows a lot of inner strength in you to put up with some of that even though it's kind of a pain
P1	well thank you I'd like to think so
P2	so what would be some of the positives some of the good things about quitting based on what you told me here today
P1	even if I have some permanent damage you encouraged me to believe that if I stopped that I could get better and definitely avoid the oxygen tank that would be the biggest positive the second positive was that Dan and I would have a little more peace in our home and get along better and he would see that I you know want to be on the planet my clothes would smell better my hair would smell better a car would smell better I wouldn't have to worry about you know sneaking somewhere when I wanted to smoke and it wasn't socially acceptable in the situation I'm in so there are a lot of positives okay
P2	so again on one hand there are a lot of good things that you enjoy about smoking and on the other hand there you've given me quite a list of things that if you did quit there would be a lot of ways that your life would be better so where does that leave you now
P1	but I just really need to do this and to concentrate on the good things and just be ready to stop I just need to stop
P2	sounds like you're pretty committed so honest let's talk about a scale then on in terms of being ready to quit zero being not ready at all and ten being like yeah I'm really ready to quit where are you on that do you think
P1	I'm gonna say an eight
P2	an eight why an eight not a five or six
P1	it all just goes back to this recent event and the fears that I have or where it would be I'll go back to your five to ten years from now and that's just not
P2	not a pretty picture no no it's not tell me some of the things that you are aware of that can help you in this quest
P1	well I'm very familiar with nicotine gum and nicotine patches I do wear the patch and they work very well for me um especially at work because I'm not allowed to smoke at work nor but I want to be smoking at work again with the people that I'm with um and that's really about all I've ever tried or called Turkey and that just never will I never want to offer you mm-hmm
P2	do you know about the NC quit line
P1	I've heard the commercials on the radio but I've never looked into it
P2	would it be okay if we talked about that for a minute sir this is a fantastic program page they have a lot of information but the great thing is you can actually have your own personal smoking counselor and you can call them or you can leave a message with them to call you but there's a tremendous amount of support there and that's been a very helpful thing and the great thing for me is they will actually call me and give me kind of follow-up information on how you're doing mmm how does that how does it sound
P1	sounds very intriguing sounds like it could be helpful yeah not just depend on Dan with my journey yeah
P2	so he's just uh sounds like more support right you wouldn't feel you wouldn't feel alone in this battle right yeah so I heard the nicotine patches and gum and then possibly the Quitline anything else that you've heard about or that you might be interested in there
P1	well I do know Dan um had a quit date is that something I have to do
P2	again decisions that only you can make H and but if it's okay I can tell you a little bit about the research about the quit date okay um most of the research shows that if indeed you can kind of look at your calendar and see a time that would be better to quit them than not it's really helpful to have a quit date and to tell as many people as you can about that this is the day I'm quitting again it tends to garner that social support and increases the commitment level how does that sound
P1	well that makes sense why it would be better than just today will be the day
P2	is there any time that would be better for you to get a quit date than another day
P1	we do have some plans coming up so I think a week from Monday socially would be better that's the day a week from it yes
P2	would it be okay if our office called you on that day to just begin to give you a little bit more support let you know that we're with you sure that would begin so let's go back to another one of those scales scale of  to  in terms of your confidence about doing this zero being no confidence  being they have a lot of confidence about my ability to quit where would you be on that scale
P1	I think with everything we discussed today I would like to leave on a  and that's how I feel that's tremendous it is tremendous good good feels good feels I could still be a little weary
P2	but it feels good
P1	yeah but it feels like you have a play on this time good as what I feel better
P2	well congratulations I think that's probably the biggest health decision that you could possibly make in your life particularly in light of what you've just been through so right I think this is a really good time and I have I applaud your courage doing it takes a lot to to make this decision so good for you
P1	well thank you
P2	so I will call you and we'll give you some information about the Quitline when you leave you can take care of the patches and and gums instead of over-the-counter and if it's okay let's schedule an appointment and two to three weeks out and get you back and see how things are going
